time_ms,Lead_I,Lead_II,Lead_III
268,0.1909,0.3373,0.1465
270,0.218,0.3379,0.12
272,0.2445,0.3672,0.1226
274,0.2376,0.3371,0.0995
276,0.2707,0.3608,0.0901
278,0.2475,0.3814,0.1339
280,0.2671,0.4084,0.1412
282,0.2553,0.4039,0.1486
284,0.2419,0.423,0.1811
286,0.274,0.4476,0.1736
288,0.3058,0.4548,0.1489
290,0.2982,0.4432,0.145
292,0.3043,0.445,0.1407
294,0.2767,0.451,0.1744
296,0.2716,0.4777,0.2061
298,0.3016,0.4809,0.1793
300,0.2897,0.4736,0.1839
302,0.2944,0.4633,0.1689
304,0.3001,0.4587,0.1586
306,0.2988,0.4433,0.1445
308,0.2943,0.4539,0.1595
310,0.2797,0.4522,0.1725
312,0.2684,0.437,0.1686
314,0.2946,0.446,0.1514
316,0.2556,0.4142,0.1586
318,0.27,0.397,0.127
320,0.2446,0.3992,0.1546
322,0.2334,0.3829,0.1495
324,0.2359,0.3683,0.1324
326,0.2255,0.3476,0.1221
328,0.225,0.3301,0.1051
330,0.1866,0.3236,0.1371
332,0.1949,0.3239,0.1291
334,0.1764,0.3062,0.1298
336,0.1817,0.2669,0.0852
338,0.1674,0.2711,0.1036
340,0.1621,0.2592,0.097
342,0.1614,0.2517,0.0903
344,0.1471,0.2151,0.068
346,0.1391,0.2275,0.0884
348,0.1348,0.1822,0.0474
350,0.1164,0.1544,0.038
352,0.0963,0.1737,0.0774
354,0.0946,0.1526,0.0579
356,0.0831,0.1214,0.0383
358,0.098,0.1389,0.0408
360,0.082,0.1214,0.0394
362,0.1001,0.109,0.009
364,0.06,0.0894,0.0294
366,0.0729,0.0853,0.0124
368,0.0745,0.067,-0.0075
370,0.0634,0.0809,0.0175
372,0.0651,0.088,0.0229
374,0.0429,0.0415,-0.0014
376,0.0315,0.0518,0.0203
378,0.0655,0.0492,-0.0163
380,0.0248,0.07,0.0452
382,0.0688,0.0515,-0.0173
384,0.0461,0.0646,0.0185
386,0.0316,0.0264,-0.0052
388,0.0214,0.0421,0.0207
390,0.0382,0.0338,-0.0044
392,0.0092,0.0371,0.0279
394,0.0252,0.0363,0.0111
396,0.0278,0.0121,-0.0157
398,0.0269,0.0284,0.0015
400,0.025,0.0178,-0.0072
402,0.0234,0.0538,0.0304
404,0.0135,0.0274,0.0139
406,0.027,0.0302,0.0032
408,0.0156,0.0061,-0.0095
410,0.0091,0.0241,0.015
412,0.0201,0.008,-0.0121
414,0.0063,0.0154,0.0091
416,0.0013,0.0086,0.0074
418,0.0187,0.0225,0.0039
420,0.0401,0.0061,-0.0341
422,0.0384,0.007,-0.0314
424,0.0204,0.0167,-0.0038
426,0.0178,0.0245,0.0067
428,0.0338,-0.0019,-0.0357
430,0.0318,0.0176,-0.0142
432,0.0292,0.0303,0.0011
434,0.0326,0.0133,-0.0193
436,0.0031,0.0152,0.0121
438,0.0142,0.0349,0.0207
440,0.0026,0.0146,0.0119
442,0.0325,0.0092,-0.0233
444,0.0216,0.0253,0.0038
446,0.0238,0.008,-0.0158
448,0.0218,0.0199,-0.0018
450,0.0031,0.0262,0.0232
452,0.0243,0.0104,-0.0139
454,0.0242,0.0172,-0.007
456,0.0113,0.0113,0
458,0.033,0.0178,-0.0151
460,0.0275,0.02,-0.0075
462,0.0195,0.0093,-0.0102
464,0.0258,0.0254,-0.0003
466,0.0023,0.0463,0.044
468,0.0114,0.0162,0.0048
470,0.0092,0.0331,0.0239
472,0.0363,0.0266,-0.0097
474,0.0267,0.0072,-0.0195
476,0.0336,-0.0131,-0.0467
478,0.029,0.0155,-0.0135
480,0.0166,-0.0024,-0.0191
482,0.0092,0.0071,-0.0021
484,0.0122,0.0436,0.0314
486,-0.0087,-0.0071,0.0016
488,0.0326,-0.0134,-0.046
490,0.0153,0.0161,0.0008
492,0.0263,0.0196,-0.0067
494,0.0184,0.0192,0.0008
496,0.031,0.0439,0.0129
498,0.0228,0.0209,-0.0019
500,0.0251,0.0416,0.0166
502,0.0325,0.0092,-0.0233
504,0.0202,0.0135,-0.0067
506,0.007,0.025,0.018
508,0.0104,0.0239,0.0135
510,0.0349,0.0031,-0.0318
512,0.0153,0.0166,0.0012
514,0.0207,0.0352,0.0145
516,0.0108,0.0243,0.0134
518,-0.0016,0.0301,0.0317
520,0.033,0.0259,-0.0071
522,0.0164,0.0179,0.0014
524,0.0306,0.0071,-0.0235
526,0.0257,0.033,0.0074
528,0.0137,0.0292,0.0156
530,0.0212,0.0175,-0.0036
532,0.0398,0.0192,-0.0206
534,0.0287,0.0238,-0.005
536,0.0229,0.0398,0.0169
538,0.0286,0.0065,-0.0221
540,0.0182,0.0233,0.0051
542,0.0335,0.0393,0.0059
544,0.0324,0.023,-0.0094
546,0.0206,0.0109,-0.0097
548,0.0238,0.0322,0.0085
550,0.0209,0.0171,-0.0038
552,0.0256,0.0234,-0.0022
554,0.0212,0.0303,0.0091
556,0.0362,0.0232,-0.013
558,0.0321,0.0237,-0.0084
560,0.025,0.0393,0.0143
562,0.0173,0.0126,-0.0047
564,0.0521,0.0316,-0.0205
566,0.022,0.007,-0.015
568,0.0048,0.0163,0.0115
570,0.0309,0.0335,0.0025
572,0.0156,0.0192,0.0036
574,0.0314,0.0219,-0.0095
576,0.0256,0.0254,-0.0001
578,0.0361,0.0224,-0.0137
580,0.0184,0.0226,0.0041
582,0.0176,0.0074,-0.0102
584,0.0281,0.0104,-0.0177
586,0.0094,0.0337,0.0243
588,0.0206,0.0034,-0.0172
590,0.0297,0.0527,0.023
592,0.0212,0.0186,-0.0026
594,0.0253,0.0107,-0.0146
596,0.0203,0.0047,-0.0156
598,0.0197,0.0168,-0.0029
600,0.0294,0.0221,-0.0073
602,0.0314,0.0292,-0.0022
604,0.0063,0.0082,0.0019
606,0.0159,0.0334,0.0175
608,0.0399,0.0168,-0.0232
610,0.0414,0.0394,-0.002
612,0.0165,0.0304,0.0139
614,0.0299,0.041,0.0111
616,0.0316,0.0221,-0.0095
618,0.0309,0.0322,0.0013
620,0.0254,0.0268,0.0014
622,0.0315,0.0239,-0.0076
624,0.0358,0.0098,-0.026
626,0.0188,0.0261,0.0073
628,0.0334,0.0077,-0.0257
630,0.0366,0.0408,0.0043
632,0.0429,0.0347,-0.0082
634,0.0167,0.0256,0.0089
636,0.0102,0.0119,0.0018
638,0.0331,0.0067,-0.0264
640,0.0208,0.0018,-0.019
642,0.0186,0.0216,0.003
644,0.0263,0.0253,-0.001
646,0.0149,0.0175,0.0025
648,0.0219,0.0183,-0.0036
650,0.0263,0.0033,-0.023
652,0.0214,0.0228,0.0014
654,0.0247,0.0095,-0.0152
656,0.0038,0.0121,0.0083
658,0.0376,0.042,0.0044
660,0.0371,0.033,-0.0041
662,0.0375,0.0219,-0.0156
664,0.0391,0.0117,-0.0274
666,0.0496,0.0191,-0.0305
668,0.0383,0.0329,-0.0054
670,0.036,0.044,0.0081
672,0.0032,0.0095,0.0063
674,0.0115,0.0549,0.0434
676,0.0334,0.0286,-0.0048
678,0.0215,0.0154,-0.0061
680,0.0222,0.038,0.0158
682,0.0361,0.0276,-0.0085
684,0.0274,0.0457,0.0183
686,0.0325,0.0233,-0.0092
688,0.0352,0.0199,-0.0154
690,0.0149,0.0305,0.0156
692,0.0372,0.0322,-0.005
694,0.0154,0.0163,0.0009
696,0.0382,0.0279,-0.0103
698,0.0134,0.0284,0.0151
700,0.0411,0.0406,-0.0005
702,0.0374,0.0053,-0.0321
704,0.0246,0.0295,0.0049
706,0.0313,0.0222,-0.0091
708,0.0048,0.0192,0.0144
710,0.0367,0.0266,-0.0101
712,0.0195,0.0303,0.0108
714,0.016,0.045,0.029
716,0.0271,0.0086,-0.0185
718,0.0341,0.0371,0.0029
720,0.0235,0.0052,-0.0183
722,0.0138,0.0224,0.0086
724,0.0244,0.0387,0.0143
726,0.0292,0.0548,0.0255
728,0.0348,0.0362,0.0013
730,0.0356,0.0132,-0.0224
732,0.027,0.0157,-0.0113
734,0.0116,0.0331,0.0215
736,0.0238,0.0198,-0.0039
738,0.0194,0.0105,-0.0089
740,0.0198,0.024,0.0042
742,0.0346,0.0527,0.0181
744,0.0313,0.0415,0.0101
746,0.0266,0.023,-0.0036
748,0.0345,0.0253,-0.0091
750,0.033,0.0185,-0.0144
752,0.0346,0.0335,-0.0012
754,0.0363,0.004,-0.0322
756,0.0248,0.0077,-0.0172
758,0.0327,0.0159,-0.0167
760,0.0169,0.0473,0.0304
762,0.0381,0.0284,-0.0097
764,0.0289,0.0274,-0.0015
766,0.0354,0.0344,-0.001
768,0.0213,0.0309,0.0097
770,0.0421,0.0444,0.0023
772,0.0407,0.0193,-0.0215
774,0.0355,0.0052,-0.0303
776,0.0263,0.0139,-0.0124
778,0.0651,0.0015,-0.0636
780,0.0154,0.0342,0.0187
782,0.0097,0.0435,0.0338
784,0.0352,0.0441,0.0089
786,0.0092,0.0157,0.0065
788,0.0542,0.0117,-0.0424
790,0.0462,0.0045,-0.0416
792,0.0304,0.0144,-0.016
794,0.0407,0.0142,-0.0266
796,0.0239,0.0296,0.0057
798,0.0184,0.0185,0.0001
800,0.0325,0.0205,-0.012
802,0.0377,0.014,-0.0237
804,0.0444,0.0544,0.01
806,0.0304,0.047,0.0166
808,0.0229,0.0346,0.0116
810,0.0284,0.0254,-0.0029
812,0.018,0.0308,0.0129
814,0.057,0.0426,-0.0144
816,0.0333,0.015,-0.0183
818,0.0425,0.0459,0.0034
820,0.039,0.0509,0.0119
822,0.0581,0.0507,-0.0074
824,0.0291,0.057,0.0279
826,0.0146,0.0121,-0.0025
828,0.0449,0.0476,0.0027
830,0.0286,0.0488,0.0202
832,0.0042,0.0632,0.059
834,0.0189,0.0493,0.0304
836,0.0419,0.0366,-0.0053
838,0.0369,0.0612,0.0242
840,0.0551,0.0736,0.0185
842,0.052,0.0723,0.0203
844,0.0813,0.092,0.0108
846,0.0594,0.0882,0.0288
848,0.0973,0.1292,0.032
850,0.0876,0.1167,0.0291
852,0.0993,0.1355,0.0362
854,0.1222,0.1339,0.0118
856,0.1415,0.1772,0.0357
858,0.1547,0.1879,0.0332
860,0.1572,0.216,0.0588
862,0.1609,0.2418,0.0808
864,0.173,0.207,0.034
866,0.172,0.2469,0.0749
868,0.1768,0.2747,0.0979
870,0.2025,0.2757,0.0732
872,0.216,0.3135,0.0974
874,0.2008,0.3141,0.1133
876,0.2152,0.3212,0.106
878,0.2243,0.3385,0.1142
880,0.2102,0.3243,0.1141
882,0.2291,0.2952,0.0661
884,0.2159,0.2914,0.0755
886,0.1846,0.2811,0.0965
888,0.2047,0.2758,0.0712
890,0.1828,0.2523,0.0695
892,0.1725,0.2366,0.0641
894,0.1498,0.2532,0.1034
896,0.1392,0.207,0.0679
898,0.1374,0.1883,0.0509
900,0.1254,0.166,0.0406
902,0.0902,0.1291,0.0389
904,0.1018,0.1377,0.036
906,0.0841,0.1118,0.0277
908,0.0811,0.1034,0.0223
910,0.0775,0.0902,0.0127
912,0.0563,0.0645,0.0082
914,0.0555,0.0704,0.0149
916,0.0795,0.07,-0.0095
918,0.0553,0.0677,0.0124
920,0.0502,0.0499,-0.0004
922,0.0352,0.0428,0.0076
924,0.034,0.0466,0.0126
926,0.0574,0.0559,-0.0015
928,0.0319,0.0281,-0.0038
930,0.0447,0.018,-0.0267
932,0.041,0.0361,-0.005
934,0.0404,0.0376,-0.0028
936,0.0177,0.0331,0.0154
938,0.0566,0.0411,-0.0155
940,0.0352,0.0324,-0.0028
942,0.0289,0.0423,0.0133
944,0.048,0.0218,-0.0262
946,0.0533,0.0379,-0.0155
948,0.1162,0.1434,0.0272
950,0.1995,0.2796,0.0801
952,0.337,0.5085,0.1715
954,0.5272,0.8308,0.3036
956,0.749,1.157,0.408
958,0.9733,1.5318,0.5585
960,1.1028,1.7538,0.651
962,1.1994,1.9128,0.7134
964,1.1574,1.8331,0.6757
966,1.0544,1.6508,0.5964
968,0.8795,1.3409,0.4615
970,0.6266,1.016,0.3895
972,0.4163,0.6434,0.2272
974,0.2346,0.3334,0.0988
976,0.0794,0.0974,0.018
978,-0.0121,-0.0306,-0.0185
980,-0.0521,-0.1174,-0.0653
982,-0.0433,-0.1263,-0.083
984,-0.0288,-0.0766,-0.0478
986,-0.0105,-0.0336,-0.0232
988,0.0011,-0.0198,-0.0209
990,0.0343,0.0121,-0.0221
992,0.0327,0.0123,-0.0204
994,0.0291,0.0567,0.0276
996,0.0614,0.0752,0.0137
998,0.0802,0.0715,-0.0086
1000,0.0732,0.0509,-0.0223
1002,0.0647,0.0607,-0.004
1004,0.0772,0.0769,-0.0003
1006,0.0629,0.0694,0.0065
1008,0.0683,0.1223,0.054
1010,0.0943,0.1093,0.0149
1012,0.0861,0.1081,0.022
1014,0.0903,0.1287,0.0384
1016,0.0706,0.1024,0.0318
1018,0.1,0.1308,0.0308
1020,0.1135,0.1358,0.0223
1022,0.1022,0.1528,0.0506
1024,0.1192,0.1474,0.0282
1026,0.1217,0.1725,0.0508
1028,0.1194,0.1713,0.0519
1030,0.1065,0.1833,0.0767
1032,0.1095,0.1867,0.0772
1034,0.1237,0.1829,0.0592
1036,0.1426,0.1726,0.03
1038,0.1398,0.205,0.0652
1040,0.1645,0.2103,0.0458
1042,0.1778,0.2121,0.0342
1044,0.1695,0.2402,0.0707
1046,0.151,0.2337,0.0827
1048,0.1576,0.2581,0.1005
1050,0.1722,0.2597,0.0875
1052,0.1778,0.2632,0.0854
1054,0.2143,0.2724,0.0581
1056,0.2114,0.3111,0.0997
1058,0.2121,0.3097,0.0976
1060,0.221,0.3095,0.0885
1062,0.2121,0.3304,0.1183
1064,0.2034,0.3605,0.1571
1066,0.2373,0.35,0.1127
1068,0.251,0.3661,0.1151
1070,0.2407,0.3753,0.1347
1072,0.2423,0.4102,0.1679
1074,0.2737,0.4329,0.1592
1076,0.2856,0.428,0.1424
1078,0.2856,0.4191,0.1335
1080,0.2868,0.4343,0.1475
1082,0.2935,0.445,0.1515
1084,0.3218,0.4469,0.125
1086,0.2866,0.4772,0.1906
1088,0.3064,0.4757,0.1692
1090,0.3256,0.4925,0.1669
1092,0.3208,0.4891,0.1683
1094,0.3014,0.4883,0.1869
1096,0.3291,0.4529,0.1238
1098,0.3154,0.516,0.2005
1100,0.3233,0.4846,0.1613
1102,0.3368,0.5077,0.1709
1104,0.3227,0.4891,0.1664
1106,0.3051,0.4822,0.1771
1108,0.3115,0.4555,0.144
1110,0.2689,0.4548,0.1859
1112,0.3002,0.4659,0.1657
1114,0.2876,0.4465,0.1589
1116,0.2746,0.434,0.1595
1118,0.3005,0.4172,0.1167
1120,0.2659,0.4044,0.1385
1122,0.2492,0.3818,0.1326
1124,0.2736,0.3897,0.1161
1126,0.2493,0.3531,0.1038
1128,0.236,0.3444,0.1084
1130,0.2271,0.3345,0.1074
1132,0.2239,0.3182,0.0943
1134,0.1996,0.2905,0.0909
1136,0.2012,0.2921,0.0909
1138,0.1847,0.2804,0.0956
1140,0.1716,0.2573,0.0857
1142,0.1608,0.2448,0.084
1144,0.189,0.2114,0.0225
1146,0.1656,0.1956,0.03
1148,0.1533,0.2065,0.0532
1150,0.1286,0.196,0.0675
1152,0.1374,0.1799,0.0425
1154,0.1321,0.1755,0.0434
1156,0.1083,0.1491,0.0408
1158,0.0889,0.1631,0.0742
1160,0.0958,0.1332,0.0374
1162,0.1098,0.134,0.0242
1164,0.087,0.1004,0.0134
1166,0.088,0.1177,0.0297
1168,0.0966,0.0898,-0.0068
1170,0.0647,0.1134,0.0487
1172,0.0473,0.0636,0.0163
1174,0.0671,0.0817,0.0146
1176,0.0685,0.0625,-0.006
1178,0.06,0.0398,-0.0201
1180,0.0654,0.0425,-0.0228
1182,0.0713,0.0623,-0.009
1184,0.0586,0.0677,0.0092
1186,0.0364,0.0702,0.0338
1188,0.0493,0.0457,-0.0037
1190,0.0454,0.0347,-0.0107
1192,0.0526,0.0855,0.0329
1194,0.044,0.0546,0.0105
1196,0.0463,0.0434,-0.0028
1198,0.0393,0.0458,0.0064
1200,0.0541,0.0628,0.0086
1202,0.0642,0.0451,-0.0192
1204,0.0443,0.037,-0.0072
1206,0.0381,0.0628,0.0247
1208,0.0464,0.0482,0.0018
1210,0.0427,0.0304,-0.0122
1212,0.0442,0.018,-0.0261
1214,0.0505,0.0536,0.003
1216,0.0188,0.0173,-0.0015
1218,0.0612,0.0453,-0.016
1220,0.0438,0.0398,-0.0041
1222,0.0365,0.0393,0.0028
1224,0.0649,0.0127,-0.0522
1226,0.0248,0.0359,0.011
1228,0.0188,0.0551,0.0362
1230,0.0388,0.033,-0.0059
1232,0.0438,0.0494,0.0056
1234,0.0399,0.029,-0.0109
1236,0.0432,0.0693,0.026
1238,0.056,0.0453,-0.0107
1240,0.0423,0.022,-0.0203
1242,0.0471,0.0249,-0.0222
1244,0.0389,0.0363,-0.0026
1246,0.0304,0.0438,0.0134
1248,0.0257,0.0303,0.0046
1250,0.0509,0.0452,-0.0057
1252,0.0564,0.0395,-0.0169
1254,0.0529,0.0491,-0.0038
1256,0.0403,0.0417,0.0014
1258,0.0399,0.0536,0.0138
1260,0.0403,0.0434,0.003
1262,0.0633,0.0261,-0.0372
1264,0.0332,0.0302,-0.003
1266,0.0485,0.0349,-0.0136
1268,0.059,0.0497,-0.0093
1270,0.0621,0.0324,-0.0297
1272,0.0542,0.0517,-0.0025
1274,0.0439,0.0437,-0.0002
1276,0.0396,0.0307,-0.0088
1278,0.0247,0.0538,0.0291
1280,0.0432,0.0417,-0.0015
1282,0.022,0.0232,0.0012
1284,0.0501,0.0482,-0.002
1286,0.031,0.041,0.01
1288,0.0518,0.0243,-0.0275
1290,0.0406,0.0525,0.0119
1292,0.041,0.0344,-0.0066
1294,0.0629,0.0512,-0.0117
1296,0.0402,0.0485,0.0083
1298,0.0576,0.0402,-0.0174
1300,0.061,0.0393,-0.0217
1302,0.0536,0.0397,-0.0139
1304,0.0315,0.0397,0.0082
1306,0.0527,0.0502,-0.0025
1308,0.0441,0.0308,-0.0133
1310,0.046,0.0412,-0.0048
1312,0.0426,0.041,-0.0016
1314,0.0416,0.032,-0.0096
1316,0.0409,0.0436,0.0027
1318,0.0409,0.0418,0.0009
1320,0.0536,0.0608,0.0072
1322,0.0456,0.0308,-0.0149
1324,0.0504,0.0476,-0.0028
1326,0.0558,0.0511,-0.0046
1328,0.0479,0.0635,0.0156
1330,0.0598,0.0481,-0.0117
1332,0.0578,0.0528,-0.005
1334,0.0536,0.057,0.0034
1336,0.0528,0.0147,-0.0381
1338,0.0389,0.0594,0.0205
1340,0.0532,0.0517,-0.0015
1342,0.0407,0.036,-0.0047
1344,0.047,0.0103,-0.0367
1346,0.0508,0.0484,-0.0024
1348,0.0387,0.0442,0.0055
1350,0.0509,0.0566,0.0057
1352,0.0426,0.028,-0.0145
1354,0.0557,0.0582,0.0025
1356,0.0297,0.0372,0.0075
1358,0.0307,0.046,0.0153
1360,0.0508,0.0467,-0.0041
1362,0.0429,0.0839,0.041
1364,0.0578,0.0257,-0.0322
1366,0.0547,0.0337,-0.0211
1368,0.0563,0.0555,-0.0009
1370,0.0512,0.0394,-0.0118
1372,0.049,0.0223,-0.0267
1374,0.0489,0.0418,-0.0071
1376,0.0323,0.0517,0.0194
1378,0.0275,0.0561,0.0286
1380,0.0413,0.0651,0.0238
1382,0.052,0.0409,-0.0111
1384,0.0807,0.0475,-0.0333
1386,0.0574,0.0003,-0.057
1388,0.0486,0.047,-0.0016
1390,0.049,0.033,-0.0161
1392,0.0581,0.0556,-0.0025
1394,0.0544,0.0436,-0.0108
1396,0.0491,0.0441,-0.005
1398,0.0525,0.0511,-0.0014
1400,0.0759,0.0268,-0.0491
1402,0.0397,0.0373,-0.0024
1404,0.0646,0.0475,-0.0171
1406,0.0453,0.0464,0.0011
1408,0.066,0.0461,-0.02
1410,0.0307,0.0488,0.0181
1412,0.0538,0.0435,-0.0103
1414,0.0258,0.063,0.0372
1416,0.0607,0.0513,-0.0093
1418,0.0653,0.0444,-0.0209
1420,0.0376,0.0489,0.0112
1422,0.0446,0.0482,0.0036
1424,0.0118,0.0386,0.0268
1426,0.0344,0.0458,0.0115
1428,0.0342,0.0535,0.0193
1430,0.0486,0.0308,-0.0178
1432,0.0399,0.0307,-0.0092
1434,0.0609,0.0425,-0.0183
1436,0.0503,0.038,-0.0123
1438,0.0408,0.052,0.0112
1440,0.0412,0.029,-0.0122
1442,0.0601,0.0333,-0.0268
1444,0.0528,0.0228,-0.03
1446,0.0561,0.0561,0
1448,0.0593,0.027,-0.0323
1450,0.039,0.0247,-0.0144
1452,0.0469,0.0388,-0.0081
1454,0.036,0.0527,0.0167
1456,0.0478,0.0441,-0.0037
1458,0.0288,0.0303,0.0015
1460,0.0689,0.0616,-0.0073
1462,0.0412,0.0345,-0.0067
1464,0.047,0.055,0.0079
1466,0.0306,0.0341,0.0035
1468,0.0337,0.0255,-0.0082
1470,0.0459,0.0277,-0.0182
1472,0.0472,0.0352,-0.012
1474,0.0611,0.0384,-0.0227
1476,0.0415,0.0386,-0.0028
1478,0.0463,0.0336,-0.0127
1480,0.0606,0.0384,-0.0222
1482,0.0501,0.0364,-0.0136
1484,0.0459,0.063,0.0171
1486,0.0578,0.0687,0.0109
1488,0.0461,0.0396,-0.0064
1490,0.0372,0.0589,0.0216
1492,0.0583,0.0305,-0.0278
1494,0.0477,0.0216,-0.0261
1496,0.028,0.0061,-0.0219
1498,0.0591,0.0607,0.0016
1500,0.0692,0.0725,0.0033
1502,0.055,0.065,0.01
1504,0.0534,0.0437,-0.0097
1506,0.0547,0.0523,-0.0024
1508,0.0594,0.0498,-0.0097
1510,0.023,0.037,0.014
1512,0.0893,0.0294,-0.0598
1514,0.0343,0.0411,0.0068
1516,0.0693,0.0525,-0.0168
1518,0.0623,0.0305,-0.0317
1520,0.0664,0.0472,-0.0191
1522,0.0432,0.0457,0.0025
1524,0.0536,0.0606,0.007
1526,0.0457,0.0501,0.0044
1528,0.0441,0.061,0.0169
1530,0.0472,0.0437,-0.0035
1532,0.0461,0.0349,-0.0112
1534,0.0652,0.0531,-0.0121
1536,0.0234,0.0392,0.0158
1538,0.0338,0.0496,0.0158
1540,0.038,0.0241,-0.0139
1542,0.06,0.0276,-0.0323
1544,0.0582,0.0522,-0.006
1546,0.0477,0.0305,-0.0172
1548,0.0516,0.043,-0.0085
1550,0.0503,0.0327,-0.0177
1552,0.0463,0.0462,0
1554,0.0439,0.0251,-0.0187
1556,0.0402,0.018,-0.0223
1558,0.0601,0.0604,0.0003
1560,0.049,0.0363,-0.0128
1562,0.0604,0.051,-0.0093
1564,0.0469,0.051,0.004
1566,0.0453,0.0344,-0.0108
1568,0.0601,0.037,-0.0231
1570,0.045,0.0569,0.0119
1572,0.0506,0.038,-0.0127
1574,0.0503,0.0239,-0.0263
1576,0.0707,0.0511,-0.0197
1578,0.0653,0.0534,-0.0119
1580,0.0489,0.023,-0.0259
1582,0.0591,0.0377,-0.0214
1584,0.0419,0.0425,0.0006
1586,0.0637,0.0725,0.0088
1588,0.034,0.0665,0.0325
1590,0.0502,0.0554,0.0051
1592,0.0457,0.0515,0.0057
